ncessch,county_code,y,x,enrollment,TAZ
482060002068,491,30.661819,-97.666511,1862.0,886
482060002069,491,30.587388,-97.661867,716.0,902
482060002070,491,30.615343,-97.699514,838.0,893
482060002072,491,30.627875,-97.665218,453.0,897
482060006263,491,30.668439,-97.688706,411.0,889
482060007097,491,30.63648,-97.613191,24.0,957
482060007487,491,30.672768,-97.688718,870.0,889
482060007488,491,30.661079,-97.650142,530.0,958
482060007489,491,30.614942,-97.698063,309.0,893
482060007490,491,30.69365,-97.705061,604.0,892
482060007491,491,30.616122,-97.657528,5.0,897
482060008083,491,30.64247,-97.618111,1507.0,957
482060008084,491,30.698421,-97.713902,505.0,891
482060009099,491,30.661663,-97.648696,810.0,958
482060009427,491,30.634489,-97.672435,379.0,899
482060011092,491,30.688487,-97.728865,535.0,878
482060012217,491,30.619848,-97.643978,549.0,957
482060021554,491,30.66436,-97.665821,84.0,886
482159002173,491,30.719993,-97.436376,406.0,819
482410002685,491,30.550549,-97.538947,658.0,960
482410002686,491,30.53636,-97.562251,1775.0,970
482410008411,491,30.552669,-97.553231,717.0,960
482410009478,491,30.534783,-97.558873,711.0,965
482410011094,491,30.633762,-97.678275,3.0,899
482410011368,491,30.55809,-97.549413,539.0,960
482410011444,491,30.513863,-97.538907,738.0,968
482410012021,491,30.51616,-97.543001,738.0,968
482410013156,491,30.56562,-97.595411,648.0,961
482460002755,491,30.80792,-97.589831,531.0,826
482460002756,491,30.81484,-97.627411,390.0,827
482460007492,491,30.82932,-97.606621,288.0,827
482460009477,491,30.61704,-97.655961,2.0,897
482460011096,491,30.616122,-97.657528,1.0,897
482460013159,491,30.82932,-97.606621,214.0,827
482640002972,453,30.452981,-97.982403,551.0,728
482640002973,453,30.44083,-97.97971,460.0,725
482640007469,453,30.479452,-97.977328,425.0,724
482640012434,453,30.26971,-97.710561,1.0,222
482647002520,453,30.352909,-97.976031,716.0,748
482647005762,453,30.370425,-97.944584,888.0,731
482647005763,453,30.327406,-97.969977,2699.0,740
482647006010,453,30.33775,-98.031101,1108.0,743
482647008395,453,30.309203,-97.968308,638.0,739
482647008945,453,30.391035,-97.934852,1096.0,730
482647009081,453,30.32797,-97.966731,2.0,740
482647009414,453,30.309468,-97.920704,717.0,737
482647011479,453,30.34758,-98.000641,769.0,743
482647013021,453,30.349992,-98.083139,605.0,739
482703003041,491,30.488548,-97.831271,524.0,775
482703003042,491,30.537572,-97.851136,2194.0,777
482703003043,491,30.475099,-97.83588,1418.0,758
482703003044,491,30.547869,-97.869983,733.0,804
482703005587,491,30.46521,-97.835975,754.0,759
482703006289,491,30.541223,-97.832118,642.0,806
482703007099,491,30.521022,-97.855428,618.0,788
482703007496,491,30.573231,-97.852851,919.0,796
482703007497,491,30.52419,-97.844808,556.0,787
482703007498,453,30.379053,-97.884145,632.0,706
482703007758,491,30.61704,-97.655961,5.0,897
482703008089,491,30.471867,-97.843371,1951.0,759
482703008090,491,30.47673,-97.830161,469.0,758
482703008416,491,30.579304,-97.879429,570.0,798
482703008959,491,30.530944,-97.860584,1271.0,779
482703009105,491,30.503435,-97.805506,684.0,765
482703009436,491,30.516798,-97.786159,2252.0,756
482703009437,491,30.573799,-97.852119,42.0,796
482703009438,491,30.61704,-97.655961,8.0,897
482703009439,491,30.521626,-97.788545,1306.0,756
482703009440,453,30.36607,-97.900333,835.0,707
482703009656,491,30.531096,-97.865181,710.0,779
482703011110,453,30.365046,-97.902949,1284.0,707
482703011111,453,30.482616,-97.852919,692.0,711
482703011112,491,30.559109,-97.835457,844.0,801
482703011113,491,30.49792,-97.79333,796.0,753
482703011369,491,30.566651,-97.82054,951.0,792
482703011370,491,30.58685,-97.868593,649.0,800
482703011371,491,30.5581,-97.8647,682.0,804
482703011434,453,30.41563,-97.853711,464.0,710
482703011528,453,30.390036,-97.845224,768.0,709
482703011944,491,30.57014,-97.818231,2393.0,792
482703011991,453,30.346,-97.917031,784.0,706
482703012130,491,30.51375,-97.796531,882.0,762
482703012156,453,30.39665,-97.826601,2257.0,695
482703012218,491,30.57773,-97.770431,937.0,956
482703012256,491,30.49695,-97.852881,569.0,783
482703012381,453,30.396705,-97.829746,741.0,695
482703012568,491,30.4935,-97.817811,723.0,767
482703012611,491,30.56052,-97.790461,1047.0,760
482703013077,491,30.573429,-97.856219,602.0,797
482742003084,491,30.673854,-97.926887,548.0,805
482742003085,491,30.680323,-97.953654,1089.0,805
482742005772,491,30.662711,-97.900475,512.0,791
482742008957,491,30.665681,-97.910186,548.0,791
482742009428,491,30.616122,-97.657528,2.0,897
482742009475,491,30.61704,-97.655961,1.0,897
482742011376,491,30.66125,-97.889127,782.0,813
482787003123,055,29.872594,-97.677369,1086.0,74
482787003124,055,29.872938,-97.681201,497.0,74
482787003126,055,29.887651,-97.664853,460.0,75
482787003127,055,29.875476,-97.682413,575.0,74
482787006293,055,29.892247,-97.666121,557.0,75
482787008715,055,29.887393,-97.67774,419.0,76
482787008716,055,29.873633,-97.701186,1148.0,72
482787010471,055,29.879146,-97.69505,640.0,72
482787021148,055,29.899801,-97.679297,15.0,75
482859003238,055,29.676562,-97.65579,412.0,86
482859003239,055,29.677839,-97.654262,389.0,86
482859006141,055,29.678862,-97.65395,322.0,86
482859013051,055,29.679447,-97.656884,286.0,86
