,ncessch,county_code,y,x,enrollment,TAZ
1153,63255005030,13,37.950606,-122.341946,485.0,862
1154,63255005031,13,37.93326,-122.36137099999999,356.0,864
1155,63255005032,13,37.94283,-122.3458,519.0,863
1156,63255005033,13,37.902159000000005,-122.29431399999999,392.0,869
1157,63255005034,13,37.962319,-122.33968200000001,985.0,860
1158,63255005035,13,38.007524,-122.25286000000001,383.0,893
1159,63255005037,13,37.92539,-122.3289,858.0,987
1160,63255005038,13,37.914347,-122.27895600000001,534.0,871
1161,63255005040,13,37.929437,-122.33166399999999,476.0,865
1162,63255005041,13,37.971164,-122.353398,421.0,975
1163,63255005042,13,37.931926000000004,-122.364752,436.0,864
1164,63255005043,13,37.92796,-122.298051,489.0,989
1165,63255005044,13,37.940878000000005,-122.31402800000001,531.0,971
1166,63255005045,13,37.995236,-122.33674199999999,437.0,972
1167,63255005046,13,37.975553000000005,-122.291602,514.0,913
1168,63255005047,13,37.927988,-122.35968999999999,487.0,985
1169,63255005048,13,38.007641,-122.27235300000001,359.0,894
1170,63255005049,13,37.957159999999995,-122.270716,323.0,969
1171,63255005050,13,37.943249,-122.36594699999999,536.0,983
1172,63255005051,13,37.997008,-122.30313000000001,573.0,892
1173,63255005052,13,37.990502,-122.286324,1160.0,969
1174,63255005053,13,37.915428999999996,-122.30124599999999,589.0,868
1175,63255005055,13,37.95237,-122.346061,1528.0,862
1176,63255005056,13,37.952551,-122.326835,401.0,979
1177,63255005059,13,37.999485,-122.31208400000001,336.0,892
1178,63255005060,13,37.967242,-122.297821,375.0,913
1179,63255005061,13,37.91987,-122.323,298.0,990
1180,63255005062,13,37.989895000000004,-122.28995800000001,475.0,969
1181,63255005063,13,37.994178000000005,-122.312665,492.0,973
1182,63255005064,13,37.97208,-122.283181,342.0,969
1183,63255005065,13,37.96042,-122.3631,319.0,915
1184,63255005067,13,37.924564000000004,-122.38144,455.0,984
1185,63255005068,13,37.939035,-122.329066,496.0,980
1186,63255007080,13,37.985,-122.307961,2.0,914
1187,63255007081,13,37.94715,-122.352905,569.0,981
